Grid_Latitude,Grid_Longitude,Anomaly_Flag
-30.0,-60.0,1
-29.993999399939995,-59.98799879987999,1
-29.98799879987999,-59.97599759975998,1
-29.981998199819984,-59.96399639963997,1
-29.975997599759975,-59.95199519951995,1
-29.96999699969997,-59.93999399939994,1
-29.963996399639964,-59.92799279927993,1
-29.957995799579958,-59.915991599159916,1
-29.951995199519953,-59.903990399039905,1
-29.945994599459947,-59.891989198919894,1
-29.939993999399938,-59.879987998799876,1
-29.933993399339933,-59.867986798679866,1
-29.927992799279927,-59.855985598559855,1
-29.921992199219922,-59.843984398439844,1
-29.915991599159916,-59.83198319831983,1
-29.90999099909991,-59.81998199819982,1
-29.903990399039905,-59.80798079807981,1
-29.897989798979896,-59.79597959795979,1
-29.89198919891989,-59.78397839783978,1
-29.885988598859885,-59.77197719771977,1
-29.87998799879988,-59.75997599759976,1
-29.873987398739875,-59.74797479747975,1
-29.86798679867987,-59.73597359735974,1
-29.861986198619864,-59.72397239723973,1
-29.855985598559855,-59.71197119711971,1
-29.84998499849985,-59.6999699969997,1
-29.843984398439844,-59.68796879687969,1
-29.837983798379838,-59.675967596759676,1
-29.831983198319833,-59.663966396639665,1
-29.825982598259827,-59.651965196519654,1
-29.81998199819982,-59.63996399639964,1
-29.813981398139813,-59.627962796279625,1
-29.807980798079807,-59.615961596159615,1
-29.801980198019802,-59.603960396039604,1
-29.795979597959796,-59.59195919591959,1
-29.78997899789979,-59.57995799579958,1
-29.783978397839785,-59.56795679567957,1
-29.777977797779776,-59.55595559555955,1
-29.77197719771977,-59.54395439543954,1
-29.765976597659765,-59.53195319531953,1
-29.75997599759976,-59.51995199519952,1
-29.753975397539755,-59.50795079507951,1
-29.74797479747975,-59.4959495949595,1
-29.741974197419744,-59.48394839483949,1
-29.735973597359735,-59.47194719471947,1
-29.72997299729973,-59.45994599459946,1
-29.723972397239724,-59.44794479447945,1
-29.717971797179718,-59.435943594359436,1
-29.711971197119713,-59.423942394239425,1
-29.705970597059707,-59.411941194119414,1
-29.699969996999698,-59.399939993999396,1
-29.693969396939693,-59.387938793879385,1
-29.687968796879687,-59.375937593759375,1
-29.681968196819682,-59.363936393639364,1
-29.675967596759676,-59.35193519351935,1
-29.66996699669967,-59.33993399339934,1
-29.663966396639665,-59.32793279327933,1
-29.657965796579656,-59.31593159315931,1
-29.65196519651965,-59.3039303930393,1
-29.645964596459645,-59.29192919291929,1
-29.63996399639964,-59.27992799279928,1
-29.633963396339634,-59.26792679267927,1
-29.62796279627963,-59.25592559255926,1
-29.621962196219624,-59.24392439243925,1
-29.615961596159615,-59.23192319231923,1
-29.60996099609961,-59.21992199219922,1
-29.603960396039604,-59.20792079207921,1
-29.597959795979598,-59.195919591959196,1
-29.591959195919593,-59.183918391839185,1
-29.585958595859587,-59.171917191719174,1
-29.57995799579958,-59.15991599159916,1
-29.573957395739573,-59.147914791479145,1
-29.567956795679567,-59.135913591359135,1
-29.561956195619562,-59.123912391239124,1
-29.555955595559556,-59.11191119111911,1
-29.54995499549955,-59.0999099909991,1
-29.543954395439545,-59.08790879087909,1
-29.537953795379536,-59.07590759075907,1
-29.53195319531953,-59.06390639063906,1
-29.525952595259525,-59.05190519051905,1
-29.51995199519952,-59.03990399039904,1
-29.513951395139514,-59.02790279027903,1
-29.50795079507951,-59.01590159015902,1
